"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-01","0.00","16","28","4","   29","73.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-02","0.04","22","36","8","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-03","0.04","44","55","33","   24","87.2"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-04","0.63","23","37","9","   31","82.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-05","0.04","15","25","4","   26","91.7"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-06","0.08","15","35","-4","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-07","0.00","27","38","17","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-08","0.00","25","42","9","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-09","0.00","35","40","30","   15","82.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-10","0.67","39","46","33","   25","78.3"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-11","0.00","38","42","34","   26","132.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-12","0.00","45","56","34","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-13","0.00","49","68","31","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-14","0.00","48","58","39","   25","98.4"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-15","0.00","37","47","27","   31","71.6"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-16","0.00","40","58","22","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-17","0.06","48","62","34","   28","87.2"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-18","0.00","39","52","27","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-19","0.00","40","51","29","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-20","0.22","40","50","29","   14","132.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-21","0.51","39","46","31","   16","91.7"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-22","0.24","42","56","28","   16","91.7"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-23","0.47","37","42","32","   25","78.3"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-24","0.16","33","35","31","   26","71.6"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-25","0.12","37","43","31","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-26","0.00","41","47","35","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-27","0.08","42","48","36","   36","102.9"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-28","0.00","47","58","37","    2","82.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-29","0.00","44","51","37","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-04-30","0.00","47","56","37","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-01","0.00","46","61","31","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-02","0.00","52","70","33","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-03","0.00","52","74","31","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-04","0.00","61","80","41","   28","120.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-05","0.04","52","63","41","   27","91.7"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-06","0.00","50","66","34","   29","91.7"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-07","0.00","58","75","41","   33","73.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-08","0.00","63","77","49","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-09","0.08","61","75","46","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-10","0.39","61","70","52","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-11","0.78","48","52","44","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-12","0.28","58","70","47","   27","91.7"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-13","0.00","49","57","40","   35","73.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-14","0.00","48","64","31","   26","82.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-15","0.00","54","69","38","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-16","0.00","56","67","46","   16","73.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-17","0.00","59","70","49","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-18","0.08","63","75","51","   11","73.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-19","0.47","65","76","55","   32","71.6"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-20","0.00","48","55","42","   29","96.2"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-21",,,,"42","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-22","0.00","42","52","33","   32","73.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-23","0.00","43","54","32","   29","91.7"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-24","0.00","58","71","45","   23","82.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-25","0.20","64","71","56","   23","71.6"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-26","0.71","69","79","58","   26","87.2"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-27","0.08","73","86","59","   25","98.4"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-28","0.16","65","73","56","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-29","0.00","65","77","54","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-30","0.59","69","84","53","   25","82.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-05-31","0.11","52","59","45","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-03","0.00","45","53","37","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-04","0.08","53","71","34","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-05","0.16","55","66","44","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-06","0.00","51","63","38","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-07","0.00","52","69","34","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-08","1.02","57","62","52","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-09","0.46","62","65","59","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-10","0.78","65","73","57","   27","71.6"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-11","0.37","64","70","58","   24","87.2"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-12","0.20","66","77","55","   27","71.6"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-13","0.04","63","76","51","   31","71.6"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-14","0.00","59","72","45","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-15","0.00","62","77","46","   14","78.3"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-16","0.87","58","68","47","   28","78.3"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-17","0.00","56","69","42","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-18","0.63","64","78","50","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-19","0.08","54","65","42","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-20","0.00","56","73","39","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-21","0.00","62","71","52","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-22","0.00","65","73","56","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-23","0.31","63","72","54","   14","96.2"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-24","0.00","61","70","52","   28","78.3"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-25","0.00","58","68","47","   34","82.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-26","0.00","56","69","43","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-27","0.00","58","76","41","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-28","0.20","55","60","50","   13","78.3"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-29","0.20","56","62","50","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-06-30","0.08","65","76","54","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-01","0.63","61","64","58","   23","71.6"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-02","0.00","56","67","45","   25","73.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-03","0.00","60","74","45","   26","87.2"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-04","0.00","62","73","49","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-05","0.00","65","75","54","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-06","0.00","67","81","54","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-07","0.00","69","85","53","   26","73.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-08","0.43","60","71","49","   31","82.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-09","0.00","59","74","44","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-10","0.00","65","78","53","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-11","0.55","66","80","51","   30","73.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-12","0.04","65","79","52","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-13","0.00","65","83","48","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-14","0.00","73","85","61","   17","78.3"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-15","0.20","58","67","50","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-16","0.00","56","70","42","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-17","0.00","60","76","43","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-18","0.20","63","68","58","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-19","0.31","67","72","62","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-20","0.12","69","80","58","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-21","0.00","69","81","56","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-22","0.00","63","67","58","   28","82.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-23","0.00","63","68","57","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-24","0.35","60","66","54","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-25","0.00","64","73","55","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-26","0.08","64","70","58","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-27","0.00","71","83","57","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-28","0.00","71","82","60","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-29","0.00","72","85","60","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-30","0.28","74","88","59","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-07-31","0.00","67","76","59","   23","71.6"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-01","0.24","65","74","55","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-02","0.00","64","77","52","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-03","0.04","70","83","58","   17","78.3"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-04","0.08","66","76","55","   26","73.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-05","0.07","61","71","51","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-06","0.08","58","66","51","   24","73.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-07","0.00","59","70","49","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-08","0.31","61","73","48","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-09","0.00","64","75","54","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-10","0.16","64","79","49","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-11","0.47","62","65","59","   14","87.2"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-12","0.35","65","72","58","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-13","0.00","62","69","54","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-14","0.00","64","76","52","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-15","0.00","70","79","60","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-16","0.00","70","83","57","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-17","0.00","74","86","62","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-18","0.00","75","84","65","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-19","0.00","73","84","62","   16","78.3"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-20","0.00","74","85","64","   15","102.9"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-21","0.16","67","75","58","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-22","0.00","64","75","53","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-23","0.00","67","81","53","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-24","0.00","74","84","64","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-25","0.75","67","72","62","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-26","0.04","63","72","54","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-27","0.08","60","69","51","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-28","0.00","62","72","51","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-29","0.00","62","71","52","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-30","0.00","67","75","59","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-08-31","0.00","64","76","52","   24","82.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-01","0.00","62","76","47","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-02","0.00","68","80","56","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-03","0.00","64","78","50","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-04","0.00","60","74","45","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-05","0.00","64","82","45","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-06","0.00","68","84","52","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-07","1.61","75","86","64","   23","98.4"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-08","0.00","70","76","64","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-09","2.05","71","85","58","   24","78.3"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-10","0.00","66","74","57","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-11","0.00","60","70","49","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-12","0.00","59","71","48","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-13","0.24","61","66","56","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-14","0.94","58","62","54","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-15","0.00","63","74","52","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-16","0.00","68","81","55","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-17","0.00","71","82","60","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-18","0.00","69","80","58","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-19","0.00","68","81","55","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-20","0.28","53","65","41","   28","73.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-21","0.00","52","67","37","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-22","0.00","54","67","41","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-23","0.00","56","73","38","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-24","0.00","51","63","39","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-25","0.00","45","57","33","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-26","0.00","45","61","29","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-27","0.00","51","71","30","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-28","0.00","55","68","42","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-29","0.39","64","75","54","   31","73.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-09-30","1.69","48","54","42","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-01","0.00","44","54","34","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-02","0.00","40","51","29","    1","71.6"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-03","0.00","41","53","29","    9","96.2"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-04","0.00","43","58","27","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-05","0.00","46","62","29","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-06","0.00","48","54","43","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-07","0.08","51","61","40","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-08","0.00","41","49","33","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-09","0.20","39","45","33","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-10","0.00","38","44","32","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-11","0.04","44","52","36","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-12","0.00","61","73","49","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-13","0.00","53","65","42","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-14","0.04","45","54","36","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-15","0.16","41","52","30","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-16","0.24","38","46","30","   28","71.6"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-17","0.24","32","38","26","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-18","0.00","28","34","23","   29","73.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-19","0.00","30","42","19","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-20","0.00","42","56","29","   32","73.8"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-21","0.00","35","46","25","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-22","0.04","45","57","33","   30","78.3"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-23","0.00","34","44","25","   33","71.6"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-24","0.00","36","51","21","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-25","0.47","41","51","31","   26","78.3"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-26","0.00","33","40","25","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-27","0.00","35","48","22","    0","0.0"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-28","0.83","35","47","22","   16","78.3"
"CA007028754","BEAUCEVILLE, QC CA","2015-10-29","0.69","52","64","40","   27","107.4"
